Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall
1816,33,73,0.9381834215167548,0.9380757096882169,0.9374720022336206
1817,35,73,0.9368606701940035,0.9367713798934971,0.9360548436610967
1818,37,73,0.9368606701940035,0.936795238536317,0.9360420751392505
1819,39,73,0.935978835978836,0.9358850966210028,0.9351720280545337
1820,41,73,0.9353615520282187,0.9351873662183795,0.9345221674313834
1821,43,73,0.9340388007054674,0.9338830016512546,0.9331421855798375
1822,45,73,0.9337742504409171,0.9335630254185979,0.9328466255502306
1823,47,73,0.9333333333333333,0.9331138327347162,0.9323636788032295
1824,49,73,0.9320987654320988,0.9319601101312378,0.9311767825409362
1825,51,73,0.9317460317460318,0.9315438340163287,0.9307956585302222
1826,53,73,0.9310405643738977,0.9308680585417412,0.9301138794893677
1827,55,73,0.9299823633156966,0.9297752718321778,0.9290439472352867
1828,57,73,0.9291887125220458,0.9290021844401661,0.9282305328139694
1829,59,73,0.9286596119929453,0.9285421415886379,0.9277021802671832
1830,61,73,0.928395061728395,0.9283170199242742,0.9274319039266438
1831,63,73,0.9282186948853616,0.9281527874088662,0.9272444982443864
1832,65,73,0.9277777777777778,0.9277204278993327,0.9267753668002549
1833,67,73,0.9265432098765433,0.9265368609733649,0.9254783202808786
1834,69,73,0.9256613756613756,0.9256513406678891,0.9246316643137659
1835,71,73,0.9248677248677248,0.9248374359468864,0.9237957567011653
1836,73,73,0.9241622574955908,0.9241072281077043,0.9230796135053942
1837,75,73,0.9246031746031746,0.924523321130527,0.9235406010609921
1838,77,73,0.9238977072310406,0.9238981009175122,0.9228507393326637
1839,79,73,0.9224867724867725,0.922519293014773,0.9213913381562524
1840,81,73,0.9221340388007054,0.922116514064397,0.9210467265098623
1841,83,73,0.9210758377425045,0.9210365581579663,0.9199953378572555
1842,85,73,0.9213403880070546,0.9212993977689898,0.9202575111798502
1843,87,73,0.9206349206349206,0.920665839385476,0.9195226175510186
1844,89,73,0.9199294532627866,0.9199843555381365,0.9187984166515731
1845,91,73,0.9189594356261023,0.918994551282465,0.9178453654482697
1846,93,73,0.9188712522045855,0.9188907655961993,0.9177236272524845
1847,95,73,0.9184303350970018,0.9184284347876085,0.9172794834706395
1848,97,73,0.9179012345679012,0.9179434331799504,0.9167117329128699
1849,99,73,0.9171957671957672,0.917240955151758,0.916046505683925
1850,1,75,0.9548571428571428,0.9543265562707817,0.9543032497426674
1851,3,75,0.9577142857142857,0.9575097205224183,0.9570778308285295
1852,5,75,0.9567619047619048,0.9564304102515256,0.9561802821038047
1853,7,75,0.957047619047619,0.956800336546058,0.9565191119988021
1854,9,75,0.956,0.9558485770619214,0.9554502994750408
1855,11,75,0.954952380952381,0.9548756019210408,0.9543976557339986
1856,13,75,0.9523809523809523,0.9522651123650363,0.9518313222477648
1857,15,75,0.9503809523809523,0.9502340801213365,0.9497822063714251
1858,17,75,0.9499047619047619,0.9498692406396371,0.949199518023071
1859,19,75,0.9485714285714286,0.9486799096336019,0.947924857109261
1860,21,75,0.947047619047619,0.947088193623712,0.9463337881815749
1861,23,75,0.9467619047619048,0.9467584927620887,0.9460555910692611
1862,25,75,0.9451428571428572,0.9450651887440008,0.9444083223346494
1863,27,75,0.9446666666666667,0.9446429918532482,0.9439047107436827
1864,29,75,0.9431428571428572,0.9431094601125907,0.942370172548828
1865,31,75,0.9431428571428572,0.9431074128255938,0.9424080479229733
1866,33,75,0.9425714285714286,0.9425831488840384,0.9418108558318238
1867,35,75,0.9414285714285714,0.9414950741657858,0.9406170073591417
1868,37,75,0.9404761904761905,0.9406238877074319,0.9396488958522398
1869,39,75,0.9404761904761905,0.9405518624067686,0.9396922301718504
1870,41,75,0.9405714285714286,0.9406827982056349,0.9397632701481232
1871,43,75,0.9393333333333334,0.939553452362334,0.938469758031081
1872,45,75,0.9384761904761905,0.9386524993773685,0.9376154070530601
1873,47,75,0.9378095238095238,0.938011528685317,0.9368650450135696
1874,49,75,0.9368571428571428,0.9369851308848116,0.9359193867359095
1875,51,75,0.9367619047619048,0.9369750051771902,0.9358083550892571
1876,53,75,0.9362857142857143,0.9364972056535807,0.9353132329203853
1877,55,75,0.9358095238095238,0.9359993754698299,0.9348143727319602
1878,57,75,0.934952380952381,0.9351150678705776,0.933944617708099
1879,59,75,0.9348571428571428,0.9351287799267984,0.9338730469199346
1880,61,75,0.9345714285714286,0.934827447404747,0.9335994584479078
1881,63,75,0.934,0.9342542018988942,0.9330154920850531
1882,65,75,0.934,0.9342775159831351,0.9330107694084523
1883,67,75,0.9338095238095238,0.9340997224222887,0.9328148233562805
